,probability_density
1.89,0.0043870818367806146
3.67,0.0050620175039776324
5.45,0.0043870818367806146
7.23,0.004949528226111461
9.0,0.00539948533757614
10.78,0.004837038948245297
12.56,0.00539948533757614
14.34,0.006974335227702514
16.12,0.006411888838371673
17.89,0.005286996059709965
19.67,0.0067493566719701815
21.45,0.007311803061301029
23.23,0.006861845949836338
25.01,0.007874249450631877
26.78,0.007761760172765694
28.56,0.008886652951427406
30.34,0.008549185117828897
32.12,0.008661674395695066
33.9,0.009561588618624405
35.67,0.008661674395695049
37.45,0.009786567174356784
39.23,0.010236524285821422
41.01,0.009786567174356744
42.79,0.01181137417594784
44.56,0.013948670455405014
46.34,0.009786567174356744
48.12,0.014061159733271182
49.9,0.008886652951427423
51.67,0.01271128839887715
53.45,0.01248630984314481
55.23,0.013611202621806559
57.01,0.014848584678334371
58.79,0.015636009623397555
60.56,0.016085966734862296
62.34,0.016310945290594573
64.12,0.016648413124193216
65.9,0.01687339167992535
67.68,0.016310945290594635
69.45,0.015748498901263785
71.23,0.018673220125784054
73.01,0.018673220125784207
74.79,0.019573134348713567
76.57,0.020360559293776594
78.34,0.017773305902854846
80.12,0.016985880957791657
81.9,0.016423434568460675
83.68,0.016310945290594635
85.46,0.01316124551034188
87.23,0.010124035007955211
89.01,0.004837038948245306
