,probability_density
-172.7,0.003001523039924872
-165.51,0.0019732234799506023
-158.31,0.00241789355993948
-151.12,0.0025012691999373835
-143.92,0.00286256363992835
-136.72,0.002890355519927643
-129.53,0.0026958123599325236
-122.33,0.0029459392799262574
-115.13,0.0030293149199241702
-107.94,0.0026958123599325184
-100.74,0.002473477319938084
-93.54,0.0021677666399457407
-86.35,0.0033072337199172132
-79.15,0.002473477319938084
-71.96,0.002806979879929736
-64.76,0.0026958123599325184
-57.56,0.0026958123599325184
-50.37,0.0031126905599220835
-43.17,0.00241789355993948
-35.97,0.003140482439921381
-28.78,0.00241789355993948
-21.58,0.002695812359932513
-14.38,0.0032238580799193064
-7.19,0.0023901016799401757
0.01,0.003029314919924164
7.2,0.0030293149199241763
14.4,0.0029737311599255557
21.6,0.002918147399926959
28.79,0.0028347717599290344
35.99,0.0030571067999234807
43.19,0.0026124367199346003
50.38,0.003084898679922785
57.58,0.0030571067999234807
64.78,0.002556852959935992
71.97,0.0032794418399179157
79.17,0.003140482439921381
86.36,0.0026680204799332087
93.56,0.002529061079936708
100.76,0.0027236042399318176
107.95,0.003140482439921381
115.15,0.002195558519945054
122.35,0.0027236042399318176
129.54,0.0029181473999269473
136.74,0.0021955585199450365
143.94,0.002890355519927666
151.13,0.0024178935599394706
158.33,0.002751396119931122
165.52,0.0032238580799193194
172.72,0.00300152303992486
179.92,0.002973731159925544
